Fecha,temp_min,temp_max,temp_avg,Year,Month,date,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp_min_log,temp_max_log,temp_avg_log,timeIndex
1913-01,15.90967741935484,29.858064516129033,22.883870967741935,1913,1,1913-01-01,0,0,0,0,0,0,0,0,0,0,0,2.766927566805043,3.3964549713943204,3.130432337854375,48
1913-02,19.49285714285714,31.710714285714285,25.60178571428571,1913,2,1913-02-01,1,0,0,0,0,0,0,0,0,0,0,2.970048098099034,3.456654613863077,3.242662103517073,49
1913-03,13.883870967741935,24.57741935483871,19.230645161290322,1913,3,1913-03-01,0,1,0,0,0,0,0,0,0,0,0,2.6307278043624285,3.201828108993818,2.956505108766995,50
1913-04,13.636666666666667,23.236666666666668,18.436666666666667,1913,4,1913-04-01,0,0,1,0,0,0,0,0,0,0,0,2.6127622432731976,3.145731490830198,2.914341435338477,51
1913-05,10.561290322580644,19.212903225806453,14.887096774193548,1913,5,1913-05-01,0,0,0,1,0,0,0,0,0,0,0,2.357195460451888,2.955582096324708,2.7004948494577605,52
1913-06,5.406666666666666,14.826666666666666,10.116666666666667,1913,6,1913-06-01,0,0,0,0,1,0,0,0,0,0,0,1.6876327600191572,2.696427361274217,2.3141842288373975,53
1913-07,8.112903225806452,17.1,12.606451612903227,1913,7,1913-07-01,0,0,0,0,0,1,0,0,0,0,0,2.0934557850546476,2.8390784635086144,2.5342087156834814,54
1913-08,6.929032258064517,16.338709677419356,11.633870967741936,1913,8,1913-08-01,0,0,0,0,0,0,1,0,0,0,0,1.9357201581495636,2.793537119203592,2.4539207544645354,55
1913-09,8.44,17.95,13.195,1913,9,1913-09-01,0,0,0,0,0,0,0,1,0,0,0,2.1329823086078656,2.8875901149342877,2.5798379699552876,56
1913-10,11.183870967741935,19.98709677419355,15.585483870967742,1913,10,1913-10-01,0,0,0,0,0,0,0,0,1,0,0,2.4144726482058316,2.995086904057567,2.746339959960171,57
1913-11,14.346666666666666,24.063333333333333,19.205,1913,11,1913-11-01,0,0,0,0,0,0,0,0,0,1,0,2.6635176271854193,3.18068924348296,2.955170661797868,58
1913-12,15.112903225806452,26.916129032258063,21.01451612903226,1913,12,1913-12-01,0,0,0,0,0,0,0,0,0,0,1,2.715548897193331,3.2927256992014162,3.0452134431637945,59
1914-01,18.948387096774194,29.9741935483871,24.461290322580645,1914,1,1914-01-01,0,0,0,0,0,0,0,0,0,0,0,2.9417188142793735,3.400336796411108,3.1970918812217435,60
1914-02,16.885714285714286,27.57857142857143,22.232142857142858,1914,2,1914-02-01,1,0,0,0,0,0,0,0,0,0,0,2.8264679559166845,3.3170390736549322,3.1015391181636587,61
1914-03,14.76774193548387,24.88064516129032,19.824193548387097,1914,3,1914-03-01,0,1,0,0,0,0,0,0,0,0,0,2.69244520303332,3.2140901984548074,2.9869030881758434,62
1914-04,12.956666666666667,20.913333333333334,16.935000000000002,1914,4,1914-04-01,0,0,1,0,0,0,0,0,0,0,0,2.5616104561960222,3.0403869140944226,2.829382486269735,63
1914-05,11.02258064516129,17.36774193548387,14.19516129032258,1914,5,1914-05-01,0,0,0,1,0,0,0,0,0,0,0,2.3999459546360997,2.854614573845372,2.6529011523346746,64
1914-06,8.473333333333333,17.48,12.976666666666667,1914,6,1914-06-01,0,0,0,0,1,0,0,0,0,0,0,2.1369239770931983,2.8610573702273894,2.5631528729542548,65
1914-07,8.587096774193547,15.683870967741935,12.135483870967741,1914,7,1914-07-01,0,0,0,0,0,1,0,0,0,0,0,2.150260701475865,2.752632857396877,2.4961337123817837,66
1914-08,8.093548387096774,15.545161290322582,11.819354838709678,1914,8,1914-08-01,0,0,0,0,0,0,1,0,0,0,0,2.09106724888723,2.743749419161141,2.469738428314829,67
1914-09,7.586666666666667,16.796666666666667,12.191666666666666,1914,9,1914-09-01,0,0,0,0,0,0,0,1,0,0,0,2.0263923205900207,2.821180454024397,2.500752658238078,68
1914-10,11.387096774193548,20.1,15.743548387096775,1914,10,1914-10-01,0,0,0,0,0,0,0,0,1,0,0,2.4324808524481507,3.0007198150650303,2.7564306551358277,69
1914-11,12.193333333333333,23.08,17.636666666666667,1914,11,1914-11-01,0,0,0,0,0,0,0,0,0,1,0,2.50088935429461,3.138966441639899,2.869980068247931,70
1914-12,14.654838709677419,24.851612903225806,19.753225806451614,1914,12,1914-12-01,0,0,0,0,0,0,0,0,0,0,1,2.684770568280211,3.2129226559987694,2.98331680998215,71
1915-01,17.08709677419355,28.087096774193547,22.587096774193547,1915,1,1915-01-01,0,0,0,0,0,0,0,0,0,0,0,2.838323604065335,3.3353102813494235,3.117378804035419,72
1915-02,18.075,27.34642857142857,22.710714285714285,1915,2,1915-02-01,1,0,0,0,0,0,0,0,0,0,0,2.8945297680448285,3.308585937943874,3.122836808098158,73
1915-03,13.538709677419355,23.17096774193548,18.354838709677416,1915,3,1915-03-01,0,1,0,0,0,0,0,0,0,0,0,2.605552965854399,3.1429001045956095,2.9098932296411846,74
1915-04,13.296666666666665,21.666666666666668,17.481666666666666,1915,4,1915-04-01,0,0,1,0,0,0,0,0,0,0,0,2.5875133772492056,3.0757749812275277,2.8611527127454575,75
1915-05,8.483870967741936,18.293548387096774,13.388709677419355,1915,5,1915-05-01,0,0,0,1,0,0,0,0,0,0,0,2.1381668276926185,2.906548450534836,2.5944117904158985,76
1915-06,1.5066666666666668,12.19,6.848333333333333,1915,6,1915-06-01,0,0,0,0,1,0,0,0,0,0,0,0.40989970517603025,2.5006159434931803,1.9240053136672632,77
1915-07,4.548387096774194,15.13225806451613,9.84032258064516,1915,7,1915-07-01,0,0,0,0,0,1,0,0,0,0,0,1.5147726858930222,2.7168287608492663,2.286488493112715,78
1915-08,5.77741935483871,17.22258064516129,11.5,1915,8,1915-08-01,0,0,0,0,0,0,1,0,0,0,0,1.7539571045815199,2.8462213510209944,2.4423470353692043,79
1915-09,7.239999999999999,17.196666666666665,12.218333333333332,1915,9,1915-09-01,0,0,0,0,0,0,0,1,0,0,0,1.9796212063976248,2.844715566588449,2.5029375560074403,80
1915-10,10.287096774193548,21.18064516129032,15.733870967741936,1915,10,1915-10-01,0,0,0,0,0,0,0,0,1,0,0,2.3308903695308656,3.053087800582346,2.7558157750180743,81
1915-11,13.756666666666666,25.723333333333336,19.740000000000002,1915,11,1915-11-01,0,0,0,0,0,0,0,0,0,1,0,2.6215235550963807,3.2473984918014023,2.9826470340053355,82
1915-12,15.783870967741937,28.59032258064516,22.18709677419355,1915,12,1915-12-01,0,0,0,0,0,0,0,0,0,0,1,2.758988593809932,3.353068289259206,3.0995108935130196,83
1916-01,17.006451612903227,29.925806451612903,23.466129032258067,1916,1,1916-01-01,0,0,0,0,0,0,0,0,0,0,0,2.833592778703151,3.3987212001740796,3.1555580636762515,84
1916-02,17.079310344827586,28.489655172413794,22.78448275862069,1916,2,1916-02-01,1,0,0,0,0,0,0,0,0,0,0,2.837867809607718,3.34954104497619,3.1260797234979245,85
1916-03,12.209677419354838,24.848387096774193,18.529032258064515,1916,3,1916-03-01,0,1,0,0,0,0,0,0,0,0,0,2.5022288683923573,3.212792844873774,2.919338813248868,86
1916-04,13.376666666666667,23.216666666666665,18.296666666666667,1916,4,1916-04-01,0,0,1,0,0,0,0,0,0,0,0,2.5935118956107157,3.144870411557705,2.906718893893688,87
1916-05,8.074193548387097,18.76451612903226,13.419354838709678,1916,5,1916-05-01,0,0,0,1,0,0,0,0,0,0,0,2.0886729939525823,2.93196764643157,2.596698055776117,88
1916-06,0.37999999999999995,11.786666666666667,6.083333333333334,1916,6,1916-06-01,0,0,0,0,1,0,0,0,0,0,0,-0.9675840262617057,2.466968949101333,1.8055527913603908,89
1916-07,0.33225806451612905,13.493548387096775,6.912903225806452,1916,7,1916-07-01,0,0,0,0,0,1,0,0,0,0,0,-1.101843309249556,2.6022116739630063,1.9333896979943852,90
1916-08,5.577419354838709,16.39032258064516,10.983870967741936,1916,8,1916-08-01,0,0,0,0,0,0,1,0,0,0,0,1.7187261882040985,2.79669107411454,2.396427921104421,91
1916-09,7.260000000000001,20.5,13.88,1916,9,1916-09-01,0,0,0,0,0,0,0,1,0,0,0,1.9823798288367047,3.0204248861443626,2.6304489550786583,92
1916-10,10.493548387096775,22.674193548387095,16.583870967741934,1916,10,1916-10-01,0,0,0,0,0,0,0,0,1,0,0,2.3507606289941596,3.1212274296967135,2.8084305945763126,93
1916-11,12.493333333333334,25.576666666666664,19.035,1916,11,1916-11-01,0,0,0,0,0,0,0,0,0,1,0,2.525195168702112,3.2416804775214643,2.946279389834461,94
1916-12,15.380645161290323,27.361290322580647,21.370967741935484,1916,12,1916-12-01,0,0,0,0,0,0,0,0,0,0,1,2.7331099112659936,3.309129252555344,3.062033353375231,95
1917-01,17.925806451612903,29.858064516129033,23.891935483870967,1917,1,1917-01-01,0,0,0,0,0,0,0,0,0,0,0,2.8862413758007293,3.3964549713943204,3.173540974542915,96
1917-02,17.90357142857143,27.807142857142857,22.855357142857144,1917,2,1917-02-01,1,0,0,0,0,0,0,0,0,0,0,2.8850002140942537,3.3252929250011514,3.1291855381265967,97
1917-03,14.193548387096774,24.393548387096775,19.293548387096774,1917,3,1917-03-01,0,1,0,0,0,0,0,0,0,0,0,2.6527875224271606,3.194318686971686,2.959770759565365,98
1917-04,12.903333333333334,20.63,16.766666666666666,1917,4,1917-04-01,0,0,1,0,0,0,0,0,0,0,0,2.557485675921447,3.0267463270831603,2.819392788437584,99
1917-05,6.006451612903225,15.487096774193548,10.746774193548386,1917,5,1917-05-01,0,0,0,1,0,0,0,0,0,0,0,1.7928341603578204,2.7400072110517484,2.3746056345234,100
